"category","avg_review_score","total_reviews"
"cds_dvds_musicals","4.6428571428571429","14"
"fashion_childrens_clothes","4.5000000000000000","8"
"books_general_interest","4.4462659380692168","549"
"costruction_tools_tools","4.4444444444444444","99"
"flowers","4.4193548387096774","31"
"books_imported","4.4000000000000000","60"
"books_technical","4.3684210526315789","266"
"food_drink","4.3154121863799283","279"
"luggage_accessories","4.3152573529411765","1088"
"small_appliances_home_oven_and_coffee","4.3026315789473684","76"
"fashion_sport","4.2580645161290323","31"
"fashion_shoes","4.2337164750957854","261"
"food","4.2181818181818182","495"
"music","4.2105263157894737","38"
"cine_photo","4.2054794520547945","73"
"stationery","4.1938571998404467","2507"
"pet_shop","4.1851469829809180","1939"
"computers","4.1750000000000000","200"
"home_appliances","4.1724565756823821","806"
"perfumery","4.1619409529377375","3421"
"toys","4.1586409190906869","4091"
"musical_instruments","4.1525925925925926","675"
"small_appliances","4.1491875923190547","677"
"cool_stuff","4.1463414634146341","3772"
"fashion_bags_accessories","4.1446787641000490","2039"
"home_appliances_2","4.1428571428571429","238"
"health_beauty","4.1427682737169518","9645"
"arts_and_craftmanship","4.1250000000000000","24"
"tablets_printing_image","4.1234567901234568","81"
"furniture_bedroom","4.1181818181818182","110"
"sports_leisure","4.1079861111111111","8640"
"industry_commerce_and_business","4.1015037593984962","266"
"signaling_and_security","4.0862944162436548","197"
"dvds_blu_ray","4.0793650793650794","63"
"auto","4.0655115119867078","4213"
"housewares","4.0550194440443612","6943"
"costruction_tools_garden","4.0541666666666667","240"
"construction_tools_lights","4.0540540540540541","296"
"construction_tools_construction","4.0529157667386609","926"
"drinks","4.0477453580901857","377"
"garden_tools","4.0427350427350427","4329"
"electronics","4.0374681702437250","2749"
"consoles_games","4.0230700976042591","1127"
"christmas_supplies","4.0205479452054795","146"
"market_place","4.0194174757281553","309"
"watches_gifts","4.0191596638655462","5950"
"baby","4.0118110236220472","3048"
"la_cuisine","4.0000000000000000","13"
"agro_industry_and_commerce","4.0000000000000000","212"
"fashion_underwear_beach","3.9769230769230769","130"
"air_conditioning","3.9691780821917808","292"
"kitchen_dining_laundry_garden_furniture","3.9642857142857143","280"
"telephony","3.9468673898605269","4517"
"home_construction","3.9400000000000000","600"
"art","3.9371980676328502","207"
"computers_accessories","3.9308192126385527","7849"
"furniture_living_room","3.9043824701195219","502"
"furniture_decor","3.9034929780338495","8331"
"bed_bath_table","3.8956631049654305","11137"
"construction_tools_safety","3.8445595854922280","193"
"home_confort","3.8298850574712644","435"
"audio","3.8254847645429363","361"
"furniture_mattress_and_upholstery","3.8157894736842105","38"
"fashio_female_clothing","3.7800000000000000","50"
"party_supplies","3.7674418604651163","43"
"fixed_telephony","3.6832061068702290","262"
"fashion_male_clothing","3.6412213740458015","131"
"home_comfort_2","3.6296296296296296","27"
"office_furniture","3.4931831653823355","1687"
"diapers_and_hygiene","3.2564102564102564","39"
"security_and_services","2.5000000000000000","2"
