"category","total_sales","total_items_sold"
"health_beauty","1258681.3400000185","9670"
"watches_gifts","1205005.6800000123","5991"
"bed_bath_table","1036988.6800000395","11115"
"sports_leisure","988048.9700000184","8641"
"computers_accessories","911954.3200000153","7827"
"furniture_decor","729762.4900000071","8334"
"cool_stuff","635290.8499999942","3796"
"housewares","632248.6599999957","6964"
"auto","592720.1099999946","4235"
"garden_tools","485256.4599999902","4347"
"toys","483946.59999999113","4117"
"baby","411764.8899999944","3065"
"perfumery","399124.8699999938","3419"
"telephony","323667.5299999977","4545"
"office_furniture","273960.7000000014","1691"
"stationery","230943.22999999853","2517"
"computers","222963.13000000006","203"
"pet_shop","214315.40999999933","1947"
"musical_instruments","191498.87999999977","680"
"small_appliances","190648.5799999999","679"
"electronics","160246.73999999958","2767"
"consoles_games","157465.22000000003","1137"
"fashion_bags_accessories","152823.5400000001","2031"
"construction_tools_construction","144677.5900000001","929"
"luggage_accessories","140429.98000000016","1092"
"home_appliances_2","113317.74000000002","238"
"home_construction","83088.1200000001","604"
"home_appliances","80171.53000000014","771"
"agro_industry_and_commerce","72530.47000000003","212"
"furniture_living_room","68916.56000000022","503"
"fixed_telephony","59582.999999999985","264"
"home_confort","58572.04000000014","434"
"air_conditioning","55024.960000000065","297"
"audio","50688.50000000006","364"
"small_appliances_home_oven_and_coffee","47445.71000000001","76"
"books_general_interest","46856.8800000001","553"
"kitchen_dining_laundry_garden_furniture","46328.37000000002","281"
"construction_tools_lights","41080.000000000015","304"
"construction_tools_safety","40544.520000000004","194"
"industry_commerce_and_business","39669.610000000015","268"
"food","29393.409999999916","510"
"market_place","28378.469999999958","311"
"costruction_tools_garden","25715.889999999992","238"
"art","24202.639999999978","209"
"fashion_shoes","23562.769999999953","262"
"drinks","22428.699999999964","379"
"signaling_and_security","21509.229999999992","199"
"furniture_bedroom","20028.779999999995","109"
"books_technical","19096.059999999987","267"
"costruction_tools_tools","15903.949999999997","103"
"food_drink","15179.47999999999","278"
"fashion_male_clothing","10797.819999999996","132"
"fashion_underwear_beach","9541.55","131"
"christmas_supplies","8800.82","153"
"tablets_printing_image","7528.410000000001","83"
"cine_photo","6933.460000000003","72"
"music","6034.35","38"
"dvds_blu_ray","5999.390000000003","64"
"books_imported","4639.849999999999","60"
"party_supplies","4485.18","43"
"furniture_mattress_and_upholstery","4368.08","38"
"fashio_female_clothing","2803.6400000000003","48"
"fashion_sport","2119.5100000000007","30"
"la_cuisine","2054.99","14"
"arts_and_craftmanship","1814.01","24"
"diapers_and_hygiene","1567.59","39"
"flowers","1110.04","33"
"home_comfort_2","760.27","30"
"cds_dvds_musicals","730","14"
"fashion_childrens_clothes","569.85","8"
"security_and_services","283.28999999999996","2"
